"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Cyanobacteriota|c__Vampirovibrionia",0.00581399418600581,0.00119301073709663,0.000869004345021725,4.9000098000196e-05,9.3e-05,0.00550297798808805,0,0,0,0.0185591113546681,0.017092,0.000422999577000423,0.0164899835100165,0,0,0,0,0,0,0,0,0.000148999553001341,0.000323997408020736,0.0404852024260121,0,5.1999844000468e-05,0,0,0.001769,0,0,0,0,0
"k__Archaea|p__Methanobacteriota|c__Methanobacteria",0,0,0,0,0,0,0.00166199833800166,0.00113699204105571,0.00828299171700828,0,0,0,0,0.00245100980403922,0.00696703483517418,0,0,0,0,0.0380583805838059,0.00220598897005515,0.000348998953003141,0.00315497476020192,0.0102550512752564,0,0,0,0,0.016475,0,0,0,0,0.00658702634810539
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae",0.000503999496000504,0.000168001512013608,8.1000405002025e-05,0,0,0,0.00025999974000026,0,0.0161979838020162,0,0,0,0.00229099770900229,0,0.00233901169505847,0,0,0,0,0.0400614006140062,0.00234098829505852,0.00516298451104647,0,0.0111680558402792,0.00089499463003222,0.000547998356004932,0,0,0.006803,0,0,0,0,0
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000940997177008469,0,0.000806997579007263,0.00163000326000652,7.20007200072001e-05,0.000124999375003125,0,0,0,0,0,0.005103,0.00870096519613922,0,0.0349651748258741,0.00031499937000126,0.00701399298600701,0.013971013971014,0
"k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia",0.0048009951990048,0.0106820961388652,0.00298201491007455,0.000797001594003188,0.000768,0.00205499178003288,0.000248999751000249,0.000121999146005978,0.000593999406000594,0.00189701138206829,0.001735,0.0037999962000038,0.000941999058000941,0.00112400449601798,0.00035800179000895,0,0,0,0.0153080306160612,0.0016490164901649,0.00078199609001955,0.00112099663701009,0.00464496284029728,0.000789003945019725,0.00129399223604658,0.00157699526901419,0,0,0.001528,0,0,0.00112699887300113,0.000192000192000192,0.00406301625206501
"k__Bacteria|p__Campylobacterota|c__Campylobacteria",0,0,0,0,0,0,0,0,0.000141999858000142,0,0,0,0,0,0,0.000266999199002403,0,0,0,0,0,0,0,0,0,0,0.001487,0.00351298594805621,0,0.0161340806704034,0.00342799314401371,0.00213299786700213,0.00272100272100272,0
"k__Bacteria|p__Spirochaetota|c__Spirochaetia",0,0.000102000918008262,7.800039000195e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001,0,0,0.00282601413007065,0.000755998488003024,0.0181809818190182,0.00462900462900463,0
"k__Bacteria|p__Verrucomicrobiota|c__Lentisphaeria",0.000107999892000108,0.0162861465753192,0.0011400057000285,0.00013500027000054,0.002422,0.000352998588005648,0.000573999426000574,6.3999552003136e-05,0.000463999536000464,0,0,0,0,0,0,0,0,0,0,0,0,0.000101999694000918,0,0.00126300631503158,0,0.000117999646001062,0,0,0.000401,0,0,0,0,0.000241000964003856
"k__Bacteria|p__Bacillota_B|c__Peptococcia",0.000336999663000337,0.000564005076045684,0.00080200401002005,0,0,0,0.00275999724000276,0.00553596124827126,0.00481099518900481,0,0,0,0,0,0,0,0,0,0,0,0,0.000118999643001071,0.00356497148022816,0.00138900694503473,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Patescibacteria|c__JAEDAM01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000269001345006725,0.0108189783620433,0,0,0
"k__Bacteria|p__Bacillota_B|c__Dehalobacteriia",0,0,0,0,0.000125,0,0.00165599834400166,0.000426997011020923,0.00197799802200198,9.4000564003384e-05,0.000208,0.000238999761000239,0,0,0.000103000515002575,0,0,0,0,0.000643006430064301,5.8999705001475e-05,6.3999808000576e-05,0.000298997608019136,0.000221001105005525,0,0,0,0,0.000202,0,0,0,0,0
"k__Bacteria|p__Synergistota|c__Synergistia",0,0,0,0,0,0,0,0,0.000248999751000249,0,0,0,0,0.00028000112000448,0,0,0,0,0,0,0.000172999135004325,0,0,8.1000405002025e-05,0,0,0,0,0,0,0,0.00344599655400345,0.000431000431000431,0
"k__Bacteria|p__Verrucomicrobiota|c__Kiritimatiellia",0,0.00143801294211648,0.00039800199000995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Thermoplasmatota|c__Thermoplasmata",0,0.000501004509040581,0.000429002145010725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007960039800199,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Desulfobacterota|c__Desulfobulbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000434,0,0,0.0001880009400047,0.00016999966000068,0.000187999812000188,0.000731000731000731,0
"k__Bacteria|p__Bacillota_G|c__DTU025",0,0,0,0,0,0,0.000153999846000154,0,0.000158999841000159,0.000116000696004176,0.000469,0,0,0,9.3000465002325e-05,0,0,0,0,0.000140001400014,0,0,0,9.000045000225e-05,0,0,0,0,0.000188,0,0,0,0,0
