"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__UBA932",0.00204299795700204,0.0247102223920015,0.00365801829009145,0,0,0,0.0468169531830468,0.0285168003823973,0.0261949738050262,0,0,0,0.00296999703000297,0,0,0,0,0,0,0.00619406194061941,0.0026559867200664,0,0.00284897720818234,0.0169520847604238,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae",0,0,0,0,0.000232,0,0.000548999451000549,0.0166078837448138,0.000310999689000311,0,0.000107,0,0,0.000248000992003968,0,0,0,0,0.00201800403600807,0.0114091140911409,0.036760816195919,0.0863977408067776,0,0,0,0,0,0,0.001319,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae",0.00287799712200288,0.00706306356757211,0.00160900804504023,0.00176100352200704,0.002347,0.00154799380802477,0.00387099612900387,0.00207598546810172,0.0027009972990027,0.0237131422788537,0.033914,0.00692799307200693,0.00267599732400268,0.0114650458601834,0.00449702248511243,0,0,0,0,0.00736007360073601,0.0168089159554202,0.00170799487601537,0.00131498948008416,0.00230101150505753,0.000547996712019728,0.0014999955000135,0,0,0.004664,0,0,0,0,0.000643002572010288
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae",0.00616199383800616,0.0094900854107687,0.00513102565512828,0.00856501713003426,0.004622,0.00377898488406046,0.00170699829300171,0.00359097486317596,0.00291499708500292,0.00430602583615502,0.003165,0.00656599343400657,0.00471399528600472,0.00613802455209821,0.00161400807004035,0.000635998092005724,0.000887007096056768,0.000885997342007974,0,0.0024090240902409,0.00184999075004625,0.0106969679090963,0.00061999504003968,0.00123100615503078,0.00266998398009612,0.00180699457901626,0.012166,0.00575497698009208,0.005462,0.00242101210506053,0.00674598650802698,0.0031959968040032,0.0024980024980025,0.0111090444361777
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae",0,0,0.000387001935009675,0.00122800245600491,0.000525,0.00153399386402454,0.000324999675000325,0.00030999783001519,0.00101099898900101,0.000942005652033912,0.000326,0.0002999997000003,0,0.00130800523202093,0,0,0.00540304322434579,0,0,0.002830028300283,0.0877515612421938,0.00506798479604561,0.00286397708818329,0.00129000645003225,0,0,0.017207,0.00529297882808469,0.000486,0,0,0.0011959988040012,0.000468000468000468,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae",0,0,0,0,0,0,0,0,0.00182999817000183,0,0,6.6999933000067e-05,0,0,0,0,0,0,0,0.0001760017600176,0,0,0,0,0,0,0.011554,0.00237999048003808,0,0.00484502422512113,0.0598538802922394,0.0351899648100352,0.0114940114940115,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Christensenellales|f__CAG-138",0.000286999713000287,0.0190361713255419,0,0,0,0,0.00697999302000698,0.00732594871835897,0.015046984953015,0,0,0,0,0.0041560166240665,0.00150900754503772,0,0,0,0,0.0629266292662927,0.000216998915005425,7.0999787000639e-05,0,0.00499502497512488,0,0,0,0,0.004084,0,0,0,0,0.00032000128000512
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae",0.00341699658300342,0.00302402721624495,0.0058440292201461,0.0134420268840538,0.01572,0.00954896180415278,0,0,0.000157999842000158,0,0,0,0,0,0,0.000513998458004626,0.00188501508012064,0.000366998899003303,0,0,0,0.000416998749003753,0.00580995352037184,0.0002040010200051,0.000296998218010692,0.000706997879006363,0.01044,0.0367048531805873,0.000182,0.00961304806524033,0.00218099563800872,0.00345299654700345,0.00114300114300114,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Christensenellales|f__Borkfalkiaceae",0,0.000825007425066826,0,8.6000172000344e-05,0.000906,0.000198999204003184,0.00147399852600147,0.000251998236012348,0.0012969987030013,0.00174001044006264,0.002713,0.00169199830800169,0.00140899859100141,0.00210500842003368,0.0020120100600503,0.000177999466001602,0.00019000152001216,0.000177999466001602,0,0.0016830168301683,0.00026999865000675,6.7999796000612e-05,0.000160998712010304,0.00131900659503298,0,0.000872997381007857,0,0,0.00138,0,0,0,0,0.0883683534734139
"k__Bacteria|p__Bacillota|c__Bacilli|o__Staphylococcales|f__Gemellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000184999445001665,0.00224001792014336,0,0,0.0002710027100271,0,0,0,0,0,0,0.006566,0.00360198559205763,0,0.0031280156400782,0,0.0218099781900218,0.0710880710880711,0
