"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella copri_I",0.061012938987061,0.0286502578523207,0.154922774613873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius_A",0,0,0,0.0072990145980292,0.001987,0.00466498134007464,0.0124249875750124,0.0145478981647128,0.01000498999501,0,0,0,0,0,0,0.0828287515137455,0.0175671405371243,0.0852437442687672,0,0,0,0,0.000421996624027008,0.000717003585017925,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella biformis",0.00377299622700377,0.00930208371875347,0.0018920094600473,0,0,0,0,0,0,0,0,0,0,0,0,0.0869697390907827,0.052922423379387,0.0824937525187424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella sp000434975",0.107945892054108,0.0366943302489722,0.0879284396421982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes putredinis",0,0,0,0.00719501439002878,0.01028,0.012999948000208,0.0202439797560202,0.0141189011676918,0.0212409787590212,0.0232521395128371,0.023008,0.0309479690520309,0.00432099567900432,0,0,0,0,0,0,0.00673006730067301,0.0134169329153354,0.00100499698500905,0.000318997448020416,0.000320001600008,0.0092389445663326,0.00486098541704375,0,0,0.013511,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Vescimonas|s__Vescimonas sp000435975",0,0,0,0,0,0,0.00472999527000473,0.0111969216215486,0.0349219650780349,0,0,0,0,0,0,0.0196479410561768,0.113143905151241,0.0199839400481799,0,0,0,0.00957997126008622,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides fragilis",0,0,0,0,0,0,0,0,0.000990999009000991,0.00212201273207639,0.027147,0.00584899415100585,0.000806999193000807,0.00796403185612742,0.0011520057600288,0,0,0,0.153238306476613,0,0,0.00313899058302825,0,0,0,0.000407998776003672,0,0,0.002145,0,0,0,0,0.00661802647210589
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis",0.00824599175400825,0.0187291685625171,0.00140500702503513,0.000728001456002912,0.000566,0.000923996304014784,0.000515999484000516,0.00101999286004998,0.000887999112000888,0.00720404322425935,0.017811,0.00568399431600568,0.00604999395000605,0.00429701718806875,0.00289501447507238,0.0174569476291571,0.0210601684813478,0.0182659452021644,0.0183130366260733,0.000856008560085601,0.00141899290503547,0.000627998116005652,0.000257997936016512,0.0013400067000335,0.000442997342015948,0.00738797783606649,0,0,0.003507,0,0,0,0,0.0433041732166929
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium longum",0,0,0.000587002935014675,0.0493680987361975,0.033802,0.0246209015163939,0.00121199878800121,0.00186498694509138,0.000931999068000932,0,0,0,0.000231999768000232,0.0143990575962304,0.0017400087000435,0.0016109951670145,0.00241001928015424,0.00164999505001485,0.0139590279180558,0.0127891278912789,0.0005839970800146,0.00306499080502759,0.00201498388012896,0,0.000532996802019188,0.0178479464561606,0,0.0117089531641873,0.007603,0.00018600093000465,0,0.00177699822300178,0.000233000233000233,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Ruminiclostridium_E|s__Ruminiclostridium_E siraeum",0.00289099710900289,0.0166801501213511,0.00493102465512328,0.000367000734001468,0.000712,0.000242999028003888,0.0202439797560202,0.0088999377004361,0.0349219650780349,0.0200621203727222,0.017286,0.0117009882990117,0.0386109613890386,0,0,0,0,0,0,0.0024440244402444,0,0,0.00146198830409357,0.0142750713753569,0,0.000846997459007623,0,0,0.002872,0,0,0,0,0
