"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__DXTB01",0,0.00104100936908432,0.0004720023600118,0.000713001426002852,0.002154,0.000406998372006512,0,0,0,0.00183401100406602,0.000949,0,0.000386999613000387,0.0015190060760243,0,0.000486998539004383,0.00231301850414803,0.000417998746003762,0,0.0003540035400354,0.0008599957000215,0.0016549950350149,0,0,0,0.00287199138402585,0,0,0.000543,0,0,0,0,0.00533302133208533
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__UBA1381|f__UBA1381|g__Hominilimicola",0,0,0,0.00190600381200762,0.000615,0.00237299050803797,0.00152899847100153,0.000390997263019159,0.00542699457300543,0,0,0,0.00623899376100624,0.000581002324009296,0.000619003095015475,0,0,0,0,0.000657006570065701,0.000744996275018625,0,0.000322997416020672,0.00096200481002405,0.00036499781001314,0.000675997972006084,0,0,0.000256,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Butyribacter",0,0,0,0.000733001466002932,0.000203,0.00252198991204035,0.000487999512000488,0.000187998684009212,0.00111699888300112,0,0,0,0.00591799408200592,0.000973003892015568,0.00618203091015455,0,0,0,0,0.0029690296902969,0,0,0,0,0,0,0,0,0.001927,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia",0,0.000143001287011583,0,0,0.000283,0,0.000197999802000198,0,0.000200999799000201,0.000544003264019584,0.000519,0.000515999484000516,6.7999932000068e-05,0.000978003912015648,8.200041000205e-05,0,0,0,0,0.0011850118501185,0.000178999105004475,0,0,0.00073000365001825,0,0.000194999415001755,0,0,0.000406,0,0,0,0,0.0169500678002712
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001155,0.00121599513601946,0,0.01760108800544,0,0.000790999209000791,0.00165200165200165,0
"k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio",0.00307199692800307,0.00720606485458369,0.00286101430507153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00445696434428525,0.000563002815014075,0.000866994798031212,0.000803997588007236,0,0,0,0,0,0.00112699887300113,0.000192000192000192,0.00122300489201957
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Nanosyncoccaceae|g__Nanosyncoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108899564401742,0,0.007520037600188,0,0.00142299857700142,0.00225700225700226,0
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus",0,0,0.0002920014600073,0.00641101282202564,0.007854,0.00250098999604002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318698087811473,0,0,0,0.001743,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Parasutterella",0,0,0,0,0,0,0.00101199898800101,0.00165998838008134,6.2999937000063e-05,0.00430602583615502,0.003165,0.00646699353300647,0.000345999654000346,0,0,0,0,0,0,0.0019680196801968,0.00172099139504302,0,6.499948000416e-05,4.200021000105e-05,0,3.6999889000333e-05,0,0,0.000604,0,0,0,0,0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus",0,0,0,0.000636001272002544,0.000344,0,6.4999935000065e-05,0,0,0.000303001818010908,7.8e-05,0,0,0,0,0,0.00284202273618189,0,0,0.0002380023800238,0.00128999355003225,0.00100099699700901,0.000870993032055744,0.00118900594502973,0,0,0.008949,0.00168499326002696,7.7e-05,0,0,0.0011959988040012,0.000275000275000275,0
