"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales",0,6.10005490049411e-05,0,0,0,0,0.00025999974000026,0,0.0161979838020162,0,0,0,0.00229099770900229,0,0.00233901169505847,0,0,0,0,0.0400614006140061,0.00234098829505852,0.00516298451104647,0,0,0.000555996664020016,0.000547998356004932,0,0,0.006803,0,0,0,0,0
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000940997177008469,0,0.000806997579007263,0.00163000326000652,7.20007200072001e-05,0.000124999375003125,0,0,0,0,0,0.005103,0.00870096519613922,0,0.0349651748258741,0.00031499937000126,0.00701399298600701,0.013971013971014,0
"k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales",0.0048009951990048,0.0106820961388653,0.00298201491007455,0.000797001594003188,0.000768,0.00205499178003288,0.000248999751000249,0.000121999146005978,0.000593999406000594,0.00189701138206829,0.001735,0.0037999962000038,0.000941999058000942,0.00112400449601798,0.00035800179000895,0,0,0,0.0153080306160612,0.0016490164901649,0.00078199609001955,0.00112099663701009,0.00464496284029728,0.000789003945019725,0.00129399223604658,0.00157699526901419,0,0,0.001528,0,0,0.00112699887300113,0.000192000192000192,0.00406301625206501
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__UBA1381",0,0,0,0.00190600381200762,0.000615,0.00237299050803797,0.0153899846100154,0.0163408856138007,0.0116649883350117,0.00093000558003348,0.001303,0.00306099693900306,0.00651399348600651,0.000581002324009296,0.000619003095015475,0,0.000117000936007488,0,0,0.000657006570065701,0.000744996275018625,0,0.000322997416020672,0.00096200481002405,0.00036499781001314,0.000675997972006084,0,0,0.000256,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales",0,0,0,0,0,0,0.000500999499000501,0.000238998327011711,0.000667999332000668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015724,0.000260998956004176,0.000269,0.00577002885014425,0.011755976488047,0.00911999088000912,0.0157540157540158,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Tissierellales",0,0,0,0,0,0,9.2999907000093e-05,0,0.000723999276000724,0,0.00019,0,0,0.00053500214000856,0,0.000322999031002907,0.000746005968047745,9.5999712000864e-05,0.0121000242000484,0.000806008060080601,0.000458997705011475,0.000197999406001782,0,0,0,0,0.000985,0.00140899436402254,0,0.00220201101005505,0.0218509562980874,0.00264699735300265,0.00388700388700389,0
"k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales",0,0,0,0,0,0,0,0,0.000141999858000142,0,0,0,0,0,0,0.000266999199002403,0,0,0,0,0,0,0,0,0,0,0.001487,0.00351298594805621,0,0.0161340806704034,0.00342799314401371,0.00213299786700213,0.00272100272100272,0
"k__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Treponematales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001,0,0,0.00282601413007065,0.000755998488003024,0.0181809818190182,0.00462900462900463,0
"k__Bacteria|p__Bacillota_B|c__Peptococcia|o__Peptococcales",0.000336999663000337,0.000564005076045685,0.00080200401002005,0,0,0,0.00275999724000276,0.00553596124827126,0.00481099518900481,0,0,0,0,0,0,0,0,0,0,0,0,0.000118999643001071,0.00356497148022816,0.00138900694503473,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Verrucomicrobiota|c__Lentisphaeria|o__Oligosphaerales",0.000107999892000108,0.0156891412022708,0.0010240051200256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__ML615J-28",0,0,0,0,0,0,0.0003999996000004,0,0.0017039982960017,0,0,0,0,0,0.00158900794503973,0,0,0,0,0.00941809418094181,0,0,0,0.000315001575007875,0,0,0,0,0.00245,0,0,0,0,0
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales",0.000503999496000504,0.000107000963008667,8.1000405002025e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111680558402792,0.000338997966012204,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota|c__Bacilli|o__MOL361",0,0.000466004194037746,0.000381001905009525,0,0,0,0.000277999722000278,0.000176998761008673,0,0.0061640369842219,0.00044,0.000160999839000161,0,0,0.0002160010800054,0,0,0,0,0.000621006210062101,0.000102999485002575,0.00142799571601285,0.00144798841609267,0.00029400147000735,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Patescibacteria|c__JAEDAM01|o__Absconditabacterales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000269001345006725,0.0108189783620433,0,0,0
